NODE,mcc_mean,mcc_std,mcc_p10,mcc_p90,n
DGAP_CISO-APND,-1.4046888541666667,3.5447328530738087,-2.907535,0.0,96
DGAP_DEAA-APND,0.0,0.0,0.0,0.0,96
DGAP_DOPD-APND,0.0,0.0,0.0,0.0,96
DGAP_EPE-APND,0.0,0.0,0.0,0.0,96
DGAP_GCPD-APND,6.154702812500001,14.064234532067177,-0.03735,16.097115000000002,96
DGAP_GLENDALE-APND,-4.666584687499999,9.312907612095664,-10.625554999999999,0.0,96
DGAP_GRID-APND,0.0,0.0,0.0,0.0,96
DGAP_GRIF-APND,0.0,0.0,0.0,0.0,96
DGAP_GWA-APND,0.0,0.0,0.0,0.0,96
DGAP_HGMA-APND,0.0,0.0,0.0,0.0,96
DGAP_IID-APND,0.0,0.0,0.0,0.0,96
DGAP_IPCO-APND,2.713076979166667,7.2839299731921185,-0.10122,8.387,96
DGAP_LADWP-APND,0.0,0.0,0.0,0.0,96
DGAP_NEVP-APND,-2.410795,5.31949862149729,-5.62282,0.0,96
DGAP_NWMT-APND,5.049959583333334,11.589282137873127,-0.041085,13.645520000000001,96
DGAP_PGE-APND,6.2678107291666665,14.115253426369291,-0.038595,16.137259999999998,96
DGAP_PNM-APND,0.0,0.0,0.0,0.0,96
DGAP_PSCO-APND,0.0,0.0,0.0,0.0,96
DGAP_PSEI-APND,5.9430281250000005,13.584364172535718,-0.038595,15.650945,96
DGAP_SCL-APND,5.9594275,13.615549217957506,-0.038595,15.88774,96
DGAP_SPP-APND,0.0,0.0,0.0,0.0,96
DGAP_SRP-APND,-4.462366666666667,10.27792080182447,-9.754850000000001,0.0,96
DGAP_TEPC-APND,0.0,0.0,0.0,0.0,96
DGAP_TIDC-APND,0.0,0.0,0.0,0.0,96
DGAP_TPWR-APND,6.3683120833333335,14.277503838993033,-0.03735,16.231495000000002,96
DGAP_WACM-APND,-0.49454072916666664,2.125079511077791,-1.8420450000000002,0.25980000000000003,96
DGAP_WALC-APND,0.0,0.0,0.0,0.0,96
DGAP_WAUW-APND,0.0,0.0,0.0,0.0,96
DGAP_WWA-APND,0.0,0.0,0.0,0.0,96
